row_number,ground_truth_path,run_id,status,final_validation_passed,iterations_used,llm_calls_total,token_all_tokens,token_input_tokens,token_output_tokens,token_prompt_tokens,token_completion_tokens,duration_seconds,error_message
41,Data\groud_truth\template\SQSStandardQueue.yaml,23a1ca76,ok,True,2.0,4.0,3812.0,0.0,0.0,3290.0,522.0,43.928,
42,Data\groud_truth\template\FindInMapAZs.yaml,b69abdbe,ok,True,1.0,2.0,4430.0,0.0,0.0,2336.0,2094.0,118.322,
43,Data\groud_truth\template\lab2.2.4.create.yaml,d74c4dce,ok,True,4.0,8.0,15695.0,0.0,0.0,13038.0,2657.0,159.887,
44,Data\groud_truth\template\VPC_With_Managed_NAT_And_Private_Subnet.yaml,59746899,ok,True,2.0,4.0,29882.0,0.0,0.0,19990.0,9892.0,703.781,
45,Data\groud_truth\template\DataFirehoseDeliveryStream.yaml,b492af5d,ok,False,5.0,10.0,24472.0,0.0,0.0,20976.0,3496.0,205.571,
46,Data\groud_truth\template\recovery.yaml,39123dd2,ok,True,4.0,8.0,35715.0,0.0,0.0,28525.0,7190.0,445.032,
47,Data\groud_truth\template\lab3.1.3.iamrole.yaml,175fdfea,ok,True,1.0,2.0,3081.0,0.0,0.0,2348.0,733.0,50.929,
48,Data\groud_truth\template\010_resources.yaml,9a53cb69,ok,False,5.0,10.0,37017.0,0.0,0.0,31341.0,5676.0,265.403,
49,Data\groud_truth\template\ecs_serverless_with_fargate.yaml,ff062e50,ok,False,5.0,10.0,11541.0,0.0,0.0,10337.0,1204.0,90.793,
50,Data\groud_truth\template\url2png-loadtest.yaml,5af74b8c,ok,False,5.0,10.0,94634.0,0.0,0.0,78238.0,16396.0,1135.609,
51,Data\groud_truth\template\loadbalancer.yaml,8687139c,ok,False,5.0,10.0,66108.0,0.0,0.0,54604.0,11504.0,607.934,
52,Data\groud_truth\template\Route53-ARC-routing-control.yaml,6c3faab8,ok,False,5.0,10.0,36045.0,0.0,0.0,31277.0,4768.0,288.722,
53,Data\groud_truth\template\010_emr_serverless.yaml,,runtime_error,,,,,,,,,6058.472,"Error code: 400 - {'error': {'message': ""This endpoint's maximum context length is 131000 tokens. However, you requested about 145324 tokens (137132 of text input, 8192 in the output). Please reduce the length of either one, or use the context-compression plugin to compress your prompt automatically."", 'code': 400, 'metadata': {'provider_name': None}}}"
54,Data\groud_truth\template\central_alert.yaml,bcccc3c8,ok,True,3.0,6.0,10466.0,0.0,0.0,8457.0,2009.0,318.293,
55,Data\groud_truth\template\client_security_group.yaml,cca764b0,ok,True,1.0,2.0,2530.0,0.0,0.0,2099.0,431.0,60.873,
56,Data\groud_truth\template\cognito_userpool.yaml,9d998c23,ok,False,5.0,10.0,37890.0,0.0,0.0,32030.0,5860.0,802.465,
57,Data\groud_truth\template\simple_ecs.yaml,5b4ea980,ok,True,2.0,4.0,6019.0,0.0,0.0,4411.0,1608.0,262.675,
58,Data\groud_truth\template\efs_file_system.yaml,20260406_165757_f21603d4,ok,False,5.0,10.0,223968.0,0.0,0.0,181117.0,42851.0,8221.898,
59,Data\groud_truth\template\kinesis-data-stream.yaml,20260406_191459_726c4258,ok,True,3.0,6.0,9803.0,0.0,0.0,7968.0,1835.0,363.042,
60,Data\groud_truth\template\kms-key.yaml,20260406_192102_5e9db833,ok,True,1.0,2.0,2539.0,0.0,0.0,2156.0,383.0,71.993,
61,Data\groud_truth\template\route53-hosted-zone-private.yaml,20260406_192214_237304a2,ok,False,5.0,10.0,12812.0,0.0,0.0,11444.0,1368.0,230.619,
62,Data\groud_truth\template\rds_2db_instance.yaml,20260406_192605_ceb72223,ok,True,4.0,8.0,34088.0,0.0,0.0,27104.0,6984.0,1109.988,
63,Data\groud_truth\template\rds_psql_export.yaml,20260406_194435_cb6d61a7,ok,True,4.0,8.0,45919.0,0.0,0.0,37137.0,8782.0,1581.904,
64,Data\groud_truth\template\arch6-lab3.yaml,20260406_201057_cddeb9ef,ok,False,5.0,10.0,54753.0,0.0,0.0,45526.0,9227.0,1685.124,
65,Data\groud_truth\template\lambda_template.yaml,20260406_203902_443dc689,ok,True,1.0,2.0,2616.0,0.0,0.0,2170.0,446.0,81.404,
