row_index,run_id,trivy_passed,total_checks,total_passed,total_failed,severity_critical_eval,severity_critical_passed,severity_critical_failed,severity_high_eval,severity_high_passed,severity_high_failed,severity_medium_eval,severity_medium_passed,severity_medium_failed,severity_low_eval,severity_low_passed,severity_low_failed,severity_unknown_eval,severity_unknown_passed,severity_unknown_failed,passed_check_ids,failed_check_ids,all_check_ids,error
137,20260815_115825_c8500e94,False,42,41,1,5,5,0,17,17,0,13,12,1,7,7,0,0,0,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0045;AWS-0049;AWS-0050;AWS-0051;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0095;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0124;AWS-0129;AWS-0130;AWS-0131;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346,AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0045;AWS-0049;AWS-0050;AWS-0051;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0095;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0124;AWS-0129;AWS-0130;AWS-0131;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346;AWS-0178,
138,20260815_121036_6b612f0a,False,35,33,2,5,5,0,13,13,0,11,10,1,6,5,1,0,0,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346,AWS-0124;AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346;AWS-0124;AWS-0178,
139,20260815_122023_ec8b7c6f,True,15,15,0,1,1,0,3,3,0,9,9,0,2,2,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0123;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0123;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346,
140,20260815_122352_e30e4f00,False,44,38,6,7,7,0,14,14,0,17,11,6,6,6,0,0,0,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0039;AWS-0040;AWS-0041;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0124;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346,AWS-0038;AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0039;AWS-0040;AWS-0041;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0124;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346;AWS-0038;AWS-0178,
141,20260815_130207_21148009,False,35,34,1,2,2,0,13,13,0,13,13,0,7,6,1,0,0,0,AWS-0014;AWS-0015;AWS-0016;AWS-0017;AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0086;AWS-0087;AWS-0090;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0095;AWS-0123;AWS-0132;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0161;AWS-0162;AWS-0163;AWS-0320;AWS-0342;AWS-0345;AWS-0346,AWS-0089,AWS-0014;AWS-0015;AWS-0016;AWS-0017;AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0086;AWS-0087;AWS-0090;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0095;AWS-0123;AWS-0132;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0161;AWS-0162;AWS-0163;AWS-0320;AWS-0342;AWS-0345;AWS-0346;AWS-0089,
142,20260815_131346_aad9e2f4,True,26,26,0,1,1,0,9,9,0,12,12,0,4,4,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0086;AWS-0087;AWS-0089;AWS-0090;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0123;AWS-0132;AWS-0140;AWS-0141;AWS-0143;AWS-0320;AWS-0342;AWS-0345;AWS-0346,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0086;AWS-0087;AWS-0089;AWS-0090;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0123;AWS-0132;AWS-0140;AWS-0141;AWS-0143;AWS-0320;AWS-0342;AWS-0345;AWS-0346,
143,20260815_132401_2b6091e6,False,19,18,1,1,1,0,5,5,0,10,10,0,3,2,1,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0095;AWS-0123;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346,AWS-0017,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0095;AWS-0123;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346;AWS-0017,
144,20260815_133210_a734cfb6,False,18,13,5,1,1,0,3,3,0,12,7,5,2,2,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0063;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346,AWS-0062;AWS-0123,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0063;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346;AWS-0062;AWS-0123,
145,20260815_133602_0306bc45,False,35,34,1,5,5,0,13,13,0,11,10,1,6,6,0,0,0,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0124;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346,AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0124;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346;AWS-0178,
146,20260815_134209_f4cbed7b,True,18,18,0,1,1,0,5,5,0,10,10,0,2,2,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0095;AWS-0123;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0065;AWS-0095;AWS-0123;AWS-0136;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346,
147,20260815_135424_b5921b7e,True,18,18,0,1,1,0,6,6,0,9,9,0,2,2,0,0,0,0,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0096;AWS-0097;AWS-0123;AWS-0135;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346,,AWS-0019;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0096;AWS-0097;AWS-0123;AWS-0135;AWS-0140;AWS-0141;AWS-0143;AWS-0342;AWS-0345;AWS-0346,
148,20260815_140402_585b74a6,False,35,34,1,5,5,0,13,13,0,11,10,1,6,6,0,0,0,0,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0124;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346,AWS-0178,AWS-0008;AWS-0009;AWS-0019;AWS-0026;AWS-0027;AWS-0028;AWS-0029;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0099;AWS-0101;AWS-0102;AWS-0104;AWS-0105;AWS-0107;AWS-0122;AWS-0123;AWS-0124;AWS-0129;AWS-0130;AWS-0131;AWS-0140;AWS-0141;AWS-0143;AWS-0164;AWS-0342;AWS-0344;AWS-0345;AWS-0346;AWS-0178,
149,20260815_141201_7b98720d,False,29,24,5,1,1,0,10,10,0,13,10,3,5,3,2,0,0,0,AWS-0019;AWS-0023;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0086;AWS-0087;AWS-0090;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0132;AWS-0140;AWS-0141;AWS-0143;AWS-0320;AWS-0342;AWS-0345;AWS-0346,AWS-0024;AWS-0025;AWS-0065;AWS-0089;AWS-0123,AWS-0019;AWS-0023;AWS-0056;AWS-0058;AWS-0059;AWS-0060;AWS-0061;AWS-0062;AWS-0063;AWS-0086;AWS-0087;AWS-0090;AWS-0091;AWS-0092;AWS-0093;AWS-0094;AWS-0132;AWS-0140;AWS-0141;AWS-0143;AWS-0320;AWS-0342;AWS-0345;AWS-0346;AWS-0024;AWS-0025;AWS-0065;AWS-0089;AWS-0123,
